item_number,item_description,product_category,sheet_source,order,stock,price,has_pricing,has_stock_info
10692,JUNIOR ORIGINAL (AGE 4/5/6yr) 24X500G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10700,RITIRIVAJ GHEE COTTON WICKS JAR (DIYA BAATI) 48X100PC,Non-Food,NON-FOOD PRODUCTS,,0,288,TRUE,TRUE
10701,LIJJAT CUMIN/JEERA PAPAD 80X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10702,LIJJAT PLAIN URAD PAPAD 80X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10703,MAIDA 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10704,LIMCA CAN 24X300ML,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10715,CORN SAMOSA 4X80PCX25G/CS (RESTAURANT PACK),Frozen,FROZEN PRODUCTS,,,,FALSE,FALSE
10723,MALAI KOFTA 4X80PCX25G/CS (RESTAURANT PACK),Frozen,FROZEN PRODUCTS,,,,FALSE,FALSE
10732,RED CHORI 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10736,SOOJI COARSE 44LB/50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10738,SUGAR COATED FENNEL SEED 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10739,SULTANA PARABOILED RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10741,SALT 30X1KG,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10745,YELLOW SPLIT PEAS 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10748,MANGLORI MIX NAMKEEN 15X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10757,GATHERING SAFFRON 1OZ,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10758,GM MUSTARD SEED BIG 10X800G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10759,CHIKOO PULP 16X1KG (RESTAURANT PACK),Frozen,FROZEN PRODUCTS,,,,FALSE,FALSE
10760,TOOR DAL PLAIN 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10767,CARDAMOM SEED 22LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10768,PEANUT BLANCHED 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
