item_number,item_description,product_category,sheet_source,order,stock,price,has_pricing,has_stock_info
14450,GM URAD WHOLE 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14452,GM MOONG WHOLE BIG 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14453,GM MOONG WHOLE BIG 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14454,DECCAN PONNI BOILED (PARBOILED) RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14455,DECCAN KERALA MATTA RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14462,MOONG WHOLE SMALL 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
14463,GM KESAR MANGO PULP 6X850G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
14474,GM CARROM BOARD BLACK GLOSSY 41X41 2/CS,Non-Food,NON-FOOD PRODUCTS,,5,130,TRUE,TRUE
14475,GM SOUTH INDIAN RICE FLOUR 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14478,VEG. MOMO 4X80PCX22G/CS (RESTAURANT PACK),Frozen,FROZEN PRODUCTS,,,,FALSE,FALSE
14486,JEERA BISCUITS 20X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
14487,OSMANIA BISCUIT 20X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
14499,ASHWIN PHARMA CLOVE OIL 12X20ML,Non-Food,NON-FOOD PRODUCTS,,9,15,TRUE,TRUE
14531,GAJANAN IDLY RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14532,GAJANAN IDLY RICE 2X20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14533,GAJANAN PONNI BOILED RICE 2X20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14534,GAJANAN PONNI BOILED RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
14544,GM SOUTH INDIAN RICE FLOUR 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
